"response","pval_raw","pval_adj","sig","grouping"
" Response Coagulation pH",0.0998695446294648,0.19973908925893,"No","Process Data"
" Response Coagulation time (minutes)",0.0123121650630544,0.0738729903783262,"No","Process Data"
" Response Inoc_Mill Time",0.532640902124353,0.639169082549223,"No","Process Data"
" Response Inoc_PO Time",0.248358810425464,0.372538215638196,"No","Process Data"
" Response Mill pH",0.867328529263687,0.867328529263687,"No","Process Data"
" Response Whey removal pH",0.0837411301516007,0.19973908925893,"No","Process Data"
" Response %NCN/TN",0.511930902252041,0.860912101266474,"No","Biochemical Data"
" Response %NPN/TN",0.577219143016367,0.860912101266474,"No","Biochemical Data"
" Response Aliphatic/acidc ratio",0.541795437635059,0.860912101266474,"No","Biochemical Data"
" Response Ca",0.741558509162228,0.860912101266474,"No","Biochemical Data"
" Response Fat%",0.810270212956681,0.860912101266474,"No","Biochemical Data"
" Response FDB",0.754283849140981,0.860912101266474,"No","Biochemical Data"
" Response Glutamic Acid",0.0642811457010232,0.218555895383479,"No","Biochemical Data"
" Response Initial Cheese pH",0.191982853623898,0.46624407308661,"No","Biochemical Data"
" Response Leucine",0.016640235766221,0.141442004012879,"No","Biochemical Data"
" Response Lysine",0.0895400879166321,0.253696915763791,"No","Biochemical Data"
" Response MFFS",0.801617917928256,0.860912101266474,"No","Biochemical Data"
" Response Moisture%",0.90142801820992,0.90142801820992,"No","Biochemical Data"
" Response Protein%",0.0607857990491401,0.218555895383479,"No","Biochemical Data"
" Response S/M",0.639964993286415,0.860912101266474,"No","Biochemical Data"
" Response Salt%",0.722665639116137,0.860912101266474,"No","Biochemical Data"
" Response Total FAA (mg/g)",0.0457361799318265,0.218555895383479,"No","Biochemical Data"
" Response Total FFA%",0.00461229282968482,0.078408978104642,"No","Biochemical Data"
" Response Acid",0.827299812967091,0.91057510092976,"No","Sensory Data"
" Response Adhesiveness",0.298599017230182,0.711337961288552,"No","Sensory Data"
" Response Astringent",0.20412049915294,0.711337961288552,"No","Sensory Data"
" Response Bitter",0.0761140839055674,0.711337961288552,"No","Sensory Data"
" Response Brothy",0.757635578666728,0.91057510092976,"No","Sensory Data"
" Response Butter",0.708760926884306,0.91057510092976,"No","Sensory Data"
" Response Chewiness",0.660015520062088,0.91057510092976,"No","Sensory Data"
" Response Cohesiveness of Mass",0.348988667508279,0.711337961288552,"No","Sensory Data"
" Response Fruity",0.374388400678186,0.711337961288552,"No","Sensory Data"
" Response Hand Firmness",0.91057510092976,0.91057510092976,"No","Sensory Data"
" Response Others",0.853774630923328,0.91057510092976,"No","Sensory Data"
" Response Particle Size",0.795377603806245,0.91057510092976,"No","Sensory Data"
" Response Rancid",0.12824491228251,0.711337961288552,"No","Sensory Data"
" Response Salt",0.75385291263575,0.91057510092976,"No","Sensory Data"
" Response Savory",0.883515500481017,0.91057510092976,"No","Sensory Data"
" Response Sour",0.327693371886195,0.711337961288552,"No","Sensory Data"
" Response Sulfur",0.291263324517922,0.711337961288552,"No","Sensory Data"
" Response Sweet",0.205560469935078,0.711337961288552,"No","Sensory Data"
" Response Whey Taint",0.29793065998231,0.711337961288552,"No","Sensory Data"
